Time:1000Hz,Epoch,Channel 1,Channel 2,Event Id,Event Date,Event Duration
0.261,261,-30587.88,8533.37,,,
0.262,262,-30588.74,8534.03,,,
0.263,263,-30595.02,8528.71,,,
0.264,264,-30604.71,8519.13,,,
0.265,265,-30615.89,8507.32,,,
0.266,266,-30627.48,8494.87,,,
0.267,267,-30639.4,8482.64,,,
0.268,268,-30651.84,8471,,,
0.269,269,-30664.29,8460.45,,,
0.27,270,-30674.83,8452.14,,,
0.271,271,-30680.33,8447.93,,,
0.272,272,-30677.58,8449.77,,,
0.273,273,-30664.88,8458.75,,,
0.274,274,-30643.24,8474.19,,,
0.275,275,-30616.65,8493.42,,,
0.276,276,-30590.96,8512.31,,,
0.277,277,-30571.96,8526.53,,,
0.278,278,-30563.48,8532.97,,,
0.279,279,-30566.27,8530.58,,,
0.28,280,-30578.2,8520.45,,,
0.281,281,-30595.5,8505.05,,,
0.282,282,-30614.35,8487.21,,,
0.283,283,-30632.12,8469.2,,,
0.284,284,-30647.55,8452.55,,,
0.285,285,-30660.19,8438.37,,,
0.286,286,-30669.44,8427.91,,,
0.287,287,-30674.03,8422.81,,,
0.288,288,-30672.21,8424.8,,,
0.289,289,-30662.78,8434.87,,,
0.29,290,-30646.11,8452.35,,,
0.291,291,-30624.82,8474.57,,,
0.292,292,-30603.32,8497.28,,,
0.293,293,-30586.57,8515.86,,,
0.294,294,-30578.38,8526.76,,,
0.295,295,-30580.15,8528.54,,,
0.296,296,-30590.51,8522.14,,,
0.297,297,-30606.03,8510.18,,,
0.298,298,-30622.62,8495.85,,,
0.299,299,-30636.9,8481.78,,,
0.3,300,-30647.1,8469.55,,,
0.301,301,-30653,8459.81,,,
0.302,302,-30655.32,8452.83,,,
0.303,303,-30654.83,8449.02,,,
0.304,304,-30651.79,8449.07,,,
0.305,305,-30645.88,8453.6,,,
0.306,306,-30636.67,8462.63,,,
0.307,307,-30624.23,8475.16,,,
0.308,308,-30609.58,8489.28,,,
0.309,309,-30594.69,8502.61,,,
0.31,310,-30582,8513.06,,,
0.311,311,-30573.76,8519.38,,,
0.312,312,-30571.4,8521.25,,,
0.313,313,-30575.16,8518.99,,,
0.314,314,-30584.21,8513.14,,,
0.315,315,-30596.9,8504.14,,,
0.316,316,-30611.29,8492.42,,,
0.317,317,-30625.54,8478.73,,,
0.318,318,-30638.1,8464.54,,,
0.319,319,-30647.75,8452.02,,,
0.32,320,-30653.55,8443.69,,,
0.321,321,-30654.77,8441.6,,,
0.322,322,-30650.95,8446.59,,,
0.323,323,-30642.08,8457.94,,,
0.324,324,-30628.85,8473.48,,,
0.325,325,-30612.77,8490.35,,,
0.326,326,-30596.16,8505.8,,,
0.327,327,-30581.74,8517.81,,,
0.328,328,-30572.13,8525.28,,,
0.329,329,-30569.19,8527.82,,,
0.33,330,-30573.52,8525.38,,,
0.331,331,-30584.34,8518.1,,,
0.332,332,-30599.69,8506.35,,,
0.333,333,-30616.95,8491.06,,,
0.334,334,-30633.48,8474.03,,,
0.335,335,-30647.02,8457.84,,,
0.336,336,-30656,8445.36,,,
0.337,337,-30659.42,8439.02,,,
0.338,338,-30656.85,8439.97,,,
0.339,339,-30648.38,8447.74,,,
0.34,340,-30634.82,8460.35,,,
0.341,341,-30617.83,8474.92,,,
0.342,342,-30599.98,8488.57,,,
0.343,343,-30584.36,8499.09,,,
0.344,344,-30573.9,8505.39,,,
0.345,345,-30570.49,8507.48,,,
0.346,346,-30574.34,8506.11,,,
0.347,347,-30583.89,8502.38,,,
0.348,348,-30596.43,8497.4,,,
0.349,349,-30609.11,8492.02,,,
0.35,350,-30619.93,8486.79,,,
0.351,351,-30628.26,8481.98,,,
0.352,352,-30634.62,8477.73,,,
0.353,353,-30639.86,8474.21,,,
0.354,354,-30644.2,8471.79,,,
0.355,355,-30646.75,8471.18,,,
